epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.82,0.86683,1.74072,1.30044,0.82335,0.51493,0.77443,0.46952,1.06194,2.40876,1.26144,0.000652174,0.000652174,0.000652174
2,307.919,0.88188,1.30487,1.28031,0.85701,0.83582,0.90639,0.64482,0.97594,1.78388,1.3387,0.00118828,0.00118828,0.00118828
3,929.23,0.96515,1.24629,1.30977,0.82389,0.86567,0.91033,0.6183,1.02939,1.75245,1.27301,0.00159238,0.00159238,0.00159238
4,1070.39,0.93652,1.03397,1.28302,0.82052,0.78469,0.8943,0.53481,1.28487,1.90635,1.4831,0.001406,0.001406,0.001406
5,1916.99,0.89965,0.91872,1.28278,0.90838,0.96191,0.97435,0.66264,1.04859,1.07235,1.21694,0.001208,0.001208,0.001208
6,2052.33,0.85018,0.81259,1.21464,0.93949,0.92702,0.97847,0.7092,0.91815,0.81675,1.103,0.00101,0.00101,0.00101
7,2189.38,0.7997,0.71832,1.19997,0.95508,0.97761,0.98305,0.75715,0.77685,0.68294,1.00437,0.000812,0.000812,0.000812
8,2344.31,0.76475,0.68542,1.18993,0.89357,0.75189,0.84631,0.62008,0.95901,1.20261,1.11606,0.000614,0.000614,0.000614
9,2674.25,0.71567,0.59462,1.15226,0.96768,0.98507,0.98631,0.81977,0.66301,0.57763,0.89539,0.000416,0.000416,0.000416
10,2807.06,0.66243,0.53361,1.10487,0.98297,0.97761,0.98704,0.82429,0.67637,0.52517,0.90545,0.000218,0.000218,0.000218
